carpark_number,address,x_coordinate,y_coordinate,latitude,longitude,carpark_type,type_of_parking_system,short_term_parking,free_parking,night_parking,carpark_decks,gantry_height,carpark_basement
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,30314.7936,31490.4942,1.3010626054203,103.854117716591,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y
ACM,BLK 98A ALJUNIED CRESCENT,33758.4143,33695.5198,1.32100362343909,103.885060614257,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.1,N
AH1,BLK 101 JALAN DUSUN,29257.7203,34500.3599,1.32828282844232,103.84461955581,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
AK19,BLOCK 253 ANG MO KIO STREET 21,28185.4359,39012.6664,1.36909054947667,103.834984517007,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
AK31,BLK 302/348 ANG MO KIO ST 31,29482.029,38684.1754,1.36611975765045,103.846635298279,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AK52,BLOCK 513 ANG MO KIO ST 53,29889.3457,39382.8134,1.37243796677541,103.850295364087,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
AK6,BLOCK 728 ANG MO KIO AVE 6,29283.7324,39647.8906,1.37483526278652,103.844853508225,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,31397.2241,39851.6191,1.37667754201541,103.863844779763,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AK9,ANG MO KIO AVENUE 9,29674.8184,40616.875,1.38359839098836,103.848367753316,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AM16,BLK 256A ANG MO KIO STREET 21,28267.0582,39151.8344,1.37034913454673,103.835717951823,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
AM18,BLK 308C ANG MO KIO AVE 1,29257.6457,38619.9953,1.36553934611937,103.844619056883,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N
AM19,BLK 260 ANG MO KIO ST 21,28134.9305,38989.9965,1.36888553126707,103.834530690489,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N
AM20,BLK 309B ANG MO KIO ST 31,29421.1502,38526.8611,1.36469706627023,103.846088252781,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM22,BLK 316B ANG MO KIO STREET 31,29595.2539,38514.7606,1.36458762480824,103.847652693015,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM32,BLK 255A ANG MO KIO ST 21,28117.7689,39172.0389,1.37053185779419,103.83437648221,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N
AM43,BLK 455 ANG MO KIO ST 44,30669.2379,38959.5487,1.36861005200517,103.857303213327,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AM46,BLK 588 ANG MO KIO STREET 52,30234.4145,39354.0323,1.37217765665657,103.853396051077,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N
AM51,BLK 700 ANG MO KIO AVE 6,29489.025,39103.7605,1.36991433505199,103.84669818316,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM64,BLK 590 ANG MO KIO ST 51,30201.236,39274.274,1.37145635362786,103.853097912718,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM79,BLK 596 ANG MO KIO STREEET 52,30004.2224,39370.6063,1.37232756253959,103.85132761231,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM80,BLK 130A ANG MO KIO ST 12,28950.7223,39184.6976,1.37064632350469,103.841861157147,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
AM81,BLK 132A ANG MO KIO ST 12,28960.3285,39294.4158,1.371638575389,103.841947479189,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
AM96,BLK 352A ANG MO KIO STREET 32,29961.0968,38457.9118,1.36407348261194,103.85094003789,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AR1L,3 AND 5 DOVER ROAD,22359.0217,31801.6379,1.30387605185749,103.782631445894,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N
AR1M,BLK 2A DOVER ROAD,22474.205,31687.9608,1.30284801735384,103.783666441013,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
AR2L,BLK 26 AND 27 DOVER CRESCENT,22194.6359,32026.8288,1.30591256779527,103.781154321866,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N
AR2M,BLK 28 DOVER CRESCENT,22252.486,31896.9749,1.30473822616346,103.781674156016,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N
AR5M,BLK 19A DOVER CRESCENT,22562.8641,32184.9758,1.30734285992623,103.784462996773,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AR7L,12 TO 14 DOVER CLOSE EAST,22688.3753,32015.1518,1.30580705389488,103.785590803258,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N
AR7M,BLK 12A DOVER CLOSE EAST,22643.9533,31900.5591,1.30477071060107,103.785191670527,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AR9,BLK 20/22/23 DOVER CRESCENT,22448.9368,32178.436,1.30728369604261,103.783439307285,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,24649.752,29778.7266,1.28558188832508,103.803214930836,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
AV2,BLK 1001/1010 BUKIT MERAH LANE 1/3,24941.5778,29704.4978,1.28491061895418,103.805837109063,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
A1,BLK 215 ANG MO KIO STREET 22,28934.1777,38749.8516,1.3667137321088,103.841712478577,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A10,BLK 201/202 ANG MO KIO STREET 22,29247.03,38962,1.3686323149472,103.84452368184,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A100,BLK 650 ANG MO KIO STREET 61,29033.1895,39996.3712,1.37798680652812,103.842602211506,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N
A11,BLK 223/226/226A-226D ANG MO KIO ST 22,28541.14,38785.36,1.36703486719022,103.838180763517,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A12,BLK 229/230 ANG MO KIO ST 22,28596.14,38948.38,1.36850916081501,103.838674979902,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A13,BLK 232/233 ANG MO KIO ST 22,28388.51,38892.03,1.3679995549844,103.836809278552,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A15,BLK 226E-226H ANG MO KIO ST 22,28790.02,38777.85,1.36696694383996,103.840417122635,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A2,BLK 206/207 ANG MO KIO STREET 22,29082.59,38697.07,1.36623638910723,103.843046063864,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A20,BLK 304/307/319 ANG MO KIO ST 31,29684.7366,38554.0251,1.36494271397466,103.848456758484,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A21,BLK 325/326/301 ANG MO KIO STREET 31,29446.1477,38906.1139,1.36812689195204,103.846312890834,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A23,BLK 347A ANG MO KIO AVENUE 3,29735.5099,38818.5301,1.36733479978674,103.848913006779,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N
A24,BLK 338/340 ANG MO KIO ST 32,29789.41,38533.02,1.36475274521422,103.849397319436,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A25,BLK 330/337 ANG MO KIO AVE 8,30037.566,38313.6296,1.36276864076163,103.851627155938,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A26,BLK 113/114/118 ANG MO KIO AVE 4,28236.93,39419.47,1.37276953555213,103.835447230813,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A27,BLK 108/109/110 ANG MO KIO ST 11,28556.67,39153.3,1.37036238487989,103.838320318206,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A28,BLK 103/105/107 ANG MO KIO ST 11,28461.3669,39295.5961,1.37164926161451,103.837463954814,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A29,BLK 347 ANG MO KIO AVENUE 3,29713.5035,38806.4544,1.36722559275331,103.848715263307,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A30,BLK 129/134 ANG MO KIO STREET 12,29012.7631,39222.5981,1.37098908002127,103.842418638863,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A30A,BLK 133 ANG MO KIO STREET 12,29050.5605,39137.2773,1.37021746787086,103.842758272239,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A31,BLK 119/128 ANG MO KIO ST 12,29155.32,39163.04,1.37045045261138,103.843699611197,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A31A,BLK 125/126 ANG MO KIO STREET 12,29150.6699,39318.7539,1.37185867365619,103.8436578328,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A33,BLK 253/254 ANG MO KIO STREET 21,28152.8391,39115.4784,1.37002034467456,103.834691612437,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
A34,BLK 422/425 ANG MO KIO ST 42,30042,38931.43,1.36835580655218,103.851667040763,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A35,BLK 426/428/435 ANG MO KIO ST 43,30310.66,38963.49,1.36864572593849,103.854081140774,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A36,BLK 436/443/445 ANG MO KIO ST 43,30443.9088,38715.8847,1.3664064614305,103.85527845399,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A37,BLK 446/449/453 ANG MO KIO ST 43,30474.8188,38904.5192,1.36811240182008,103.855556217361,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A38,BLK 407/410/421 ANG MO KIO AVE 10,30367.0774,38445.7028,1.36396303913716,103.854588049371,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A39,BLK 401/405 ANG MO KIO AVE 10,30309.63,38134.69,1.36115035499179,103.854071821295,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A4,BLK 217/220 ANG MO KIO AVENUE 1,28876.2363,38636.7578,1.36569095392025,103.841191831682,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A40,BLK 471/476 ANG MO KIO ST 44,30633.47,38267.95,1.36235548387099,103.856981752644,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A41,BLK 466/470 ANG MO KIO ST 44,30627.96,38553.32,1.36493626863895,103.856932266709,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A42,BLK 461/465 ANG MO KIO ST 44,30675.9559,38735.0223,1.36657951496212,103.857363559052,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A43,BLK 457/458/460 ANG MO KIO ST 44,30887.78,38670.51,1.3659960688825,103.859266938635,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A44,BLK 459/456 ANG MO KIO ST 44,30856.9781,38804.1956,1.36720507660641,103.858990175187,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A45,BLK 570/578 ANG MO KIO ST 51,30438.53,39214.64,1.37091702640064,103.85523016267,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A47,BLK 562/565/560 ANG MO KIO STREET 54,30885.475,39174.8899,1.37055750038453,103.859246275569,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A48,BLK 571/73 ANG MO KIO ST 51,30374.18,39154.22,1.37037061479098,103.85465192759,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A49,BLK 555/559 ANG MO KIO STREET 54,30724.16,39260.19,1.37132893928812,103.857796754323,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A50,BLK 548/552/556 ANG MO KIO STREET 54,30703.29,39392.09,1.37252179757544,103.857609234612,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A51,BLK 252/253A ANG MO KIO STREET 21,28117.6053,39054.6321,1.36947007262656,103.83437501169,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,5.4,N
A52,BLK 701/716 ANG MO KIO AVE 3/6,29513.9566,39155.7785,1.3703847659844,103.846922213781,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A52L,BLK 700B/ 700C ANG MO KIO AVE 3/6,29426.2389,39033.615,1.36927996731533,103.846134002503,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N
A53,BLK 712A ANG MO KIO AVE 3/6,29508.9218,39208.8091,1.37086435603326,103.846876975245,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,1.8,N
A54,BLK 727/728 ANG MO KIO AVE 6,29401.8671,39382.3378,1.37243369284293,103.845915021249,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A55,BLK 729/730 ANG MO KIO AVE 6/8,29485.5,39515.49,1.37363786962528,103.846666529166,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A56,BLK 725/730 ANG MO KIO AVE 8,29538.847,39411.5653,1.37269800906686,103.847145884846,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A57,BLK 720/723 ANG MO KIO AVE 8,29518.5871,39336.4776,1.3720189438089,103.846963831333,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A58,BLK 721/722 ANG MO KIO AVE 8,29603.16,39372.68,1.37234634089049,103.847723780971,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A59,BLK 547/551 ANG MO KIO ST 54,30762.295,39543.9937,1.37389555474594,103.85813945076,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N
A60,BLK 540/546 ANG MO KIO ST 54,30514.5273,39606.8281,1.37446382877118,103.85591308541,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A61,BLK 520/534/529 ANG MO KIO AVE 5/10,30096.82,39574.31,1.3741697794568,103.852159682133,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A63,BLK 501/513/508 ANG MO KIO ST 52/53,29789.5613,39690.0448,1.3752164638627,103.849398748669,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A64,BLK 584/586 ANG MO KIO ST 51,30241.6957,39172.3075,1.37053420203439,103.853461464113,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A65,BLK 558/560 ANG MO KIO STREET 54,30904.46,39226.97,1.37102849229331,103.859416874283,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A66,BLK 601/604/603 ANG MO KIO AVE 5,28260.64,40279.16,1.38054426424159,103.835660289644,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A67,BLK 605/612 ANG MO KIO AVE 4/5,28499.27,40184.22,1.37968565777931,103.837804556054,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A68,BLK 620/624/626 ANG MO KIO ST 61,28727.3335,40428.7342,1.38189695189921,103.839853881492,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A69,BLK 623/625/627 ANG MO KIO ST 61,28960.06,40400.41,1.38164079127536,103.841945102413,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A7,BLK 212/213 ANG MO KIO STREET 23,28888.4313,38935.4059,1.36839182035481,103.841301421053,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A70,BLK 629/626 ANG MO KIO AVE 4,28755.4887,40287.5326,1.38061997447513,103.840106873428,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A71,BLK 628/632 ANG MO KIO ST 61,28826.1219,40219.911,1.38000842702849,103.840741563382,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A72,BLK 633/640 ANG MO KIO ST 61,29136.44,40303.05,1.38076029599053,103.843530004838,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A73,BLK 641/645 ANG MO KIO ST 61,28835.3369,40091.5441,1.37884752247096,103.840824363361,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A74,BLK 646/649 ANG MO KIO ST 61,29166.97,40069.8164,1.37865101361691,103.84380433039,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A75,BLK 177/182 ANG MO KIO AVE 4,28597.1669,39798.961,1.37620151139549,103.838684224412,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A76,BLK 613A ANG MO KIO AVENUE 4,28613.8871,39995.2242,1.37797644522487,103.838834471641,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,9,2,N
A77,BLK 150/156 ANG MO KIO AVE 5,28741.1744,39815.655,1.3763524826859,103.839978236964,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A78,BLK 157/163 ANG MO KIO AVE 4,28564.0295,39632.2729,1.37469404447854,103.838386457599,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A8,BLK 209/210 ANG MO KIO STREET 22,29111.67,38975.61,1.36875540432636,103.843307378131,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A81,BLK 170/172 ANG MO KIO ST 13,28351.6931,39594.7701,1.37435488585871,103.836478461347,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A82,BLK 173/176 ANG MO KIO AVE 4,28342.7741,39740.6593,1.37567425572797,103.836398319389,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A83,BLK 5022 TO 5095 ANG MO KIO IND PARK 2,31046.8301,39589.4805,1.37430689296971,103.860696207568,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A85,BLK 340 ANG MO KIO ST 32,29824.1,38572.16,1.36510671128089,103.849709035222,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A86,BLK 4001-4003/4026-4028/4033-4035 ANG MO KIO IND PARK 1,30582.1,38215.84,1.36188422416388,103.85652015401,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A87,BLK 462/463 ANG MO KIO ST 44,30733.8638,38762.2439,1.36682569207957,103.857883904032,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A88,BLK 348 ANG MO KIO AVE 3,29552.24,38701.9,1.36628004900504,103.847266193452,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A89,BLK 101/102 ANG MO KIO ST 11,28673.21,39163.93,1.3704585163783,103.839367512573,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A9,BLK 202/203 ANG MO KIO STREET 22,29232.3606,38900.2315,1.36807370331126,103.844391864469,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A90,BLK 625/627 ANG MO KIO ST 61,28882.3578,40440.1317,1.38200002254831,103.841246891236,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A94,BLK 104C ANG MO KIO STREET 11,28556.1477,39318.8058,1.37185916021645,103.838315628067,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N
A95,BLK 323A ANG MO KIO AVENUE 3,29612.0323,38838.7824,1.36751796134091,103.847803475943,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
A98,BLK 259 ANG MO KIO AVE 2,27837.0334,39020.7488,1.36916364392949,103.831853876315,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A99,BLK 181 ANG MO KIO AVE 5,28433.4999,39885.5496,1.37698459058831,103.837213558634,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
BA1,106 BIDADARI PARK DRIVE,32171.1116,35094.0857,1.33365201326857,103.870798060927,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2.15,N
BA2,BLK 117 ALKAFF CRESCENT,32444.5217,35453.6678,1.33690390663439,103.873254858591,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,8,2.15,N
BBB,BLK 232 BRAS BASAH BASEMENT CAR PARK,30264.1776,30994.7597,1.29657936105839,103.853662873061,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.9,Y
BBM1,BLK 188A BUKIT BATOK WEST AVE 6,18213.6562,36507.8169,1.34643598702017,103.745381940999,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N
BBM2,BLK 628A BUKIT BATOK CENTRAL,18714.471,36997.6927,1.35086640404301,103.749881915118,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N
BBM3,BLK 289H BUKIT BATOK STREET 25,19831.2917,36294.3127,1.34450561655919,103.75991743756,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
BBM4,BLK 288H BUKIT BATOK STREET 25,19860.3631,36409.798,1.34555003161785,103.760178630511,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N
BBM5,BLK 290H BUKIT BATOK STREET 24,19610.472,36154.6192,1.34324221841059,103.757933278247,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2,N
